upc (ean),price,OriginalPrice,availability,sku,title
1.94003E+11,30,100,0,1137365,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk M
1.94003E+11,30,100,0,1137366,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk XL
1.94003E+11,30,100,1,1137367,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk XXL
1.94003E+11,30,100,1,1137369,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk S
1.94895E+11,30,100,2,1244434,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk Check Print S
1.94895E+11,30,100,3,1244435,Columbia West Bend Full Zip Fleece Jacket - Women's Chalk Check Print M
1.94895E+11,30,100,2,1244438,Columbia West Bend Full Zip Fleece Jacket - Women's Nocturnal 80`S Stripe Print XXL
1.94895E+11,30,100,2,1256974,Columbia West Bend Full Zip Fleece Jacket - Women's Marionberry M
1.93573E+11,17.85,59.5,3,1281086,Volcom Lil Zip Hoodie - Women's Brick M
1.93573E+11,17.85,59.5,2,1281087,Volcom Lil Zip Hoodie - Women's Brick S
7.70297E+11,36,120,4,1222638,Liquid Activewear Mania Lined Snow Pant - Women's CLOUD M Regular
7.70297E+11,36,120,3,1222639,Liquid Activewear Mania Lined Snow Pant - Women's CLOUD XL Regular
7.70297E+11,36,120,2,1223615,Liquid Activewear Mania Lined Snow Pant - Women's BLACK L Regular
7.70297E+11,36,120,1,1234136,Liquid Activewear Mania Lined Snow Pant - Women's CLOUD S Regular
7.70297E+11,36,120,2,1235317,Liquid Activewear Mania Lined Snow Pant - Women's BLACK M Regular
7.70297E+11,36,120,3,1256005,Liquid Activewear Mania Lined Snow Pant - Women's BLACK S Regular
1.95718E+11,18,60,3,1083874,Roxy Bright Sunshine Oversized Sweatshirt - Women's Beige Crystal Wash XS
1.95718E+11,18,60,1,1083875,Roxy Bright Sunshine Oversized Sweatshirt - Women's Beige Crystal Wash S
1.95718E+11,18,60,2,1083877,Roxy Bright Sunshine Oversized Sweatshirt - Women's Beige Crystal Wash L
1.94896E+11,64.5,215,1,1139635,Columbia Payton Pass Insulated Jacket - Women's Black M
1.94896E+11,64.5,215,0,1139637,Columbia Payton Pass Insulated Jacket - Women's Black L
1.94896E+11,64.5,215,1,1139641,Columbia Payton Pass Insulated Jacket - Women's Beach L
1.94896E+11,64.5,215,1,1139642,Columbia Payton Pass Insulated Jacket - Women's Beach S
1.94896E+11,64.5,215,1,1139643,Columbia Payton Pass Insulated Jacket - Women's Marionberry L
